s,sLabel,freebaseID
http://www.wikidata.org/entity/Q711083,Koryo-saram,/m/0fp54b
http://www.wikidata.org/entity/Q787519,Arab Americans,/m/0150zs
http://www.wikidata.org/entity/Q817393,Black people,/m/01hwt
http://www.wikidata.org/entity/Q857880,French Canadians,/m/012c1l
http://www.wikidata.org/entity/Q862086,Indians,/m/0dryh9k
http://www.wikidata.org/entity/Q974693,Italian Americans,/m/0xnvg
http://www.wikidata.org/entity/Q1075929,African people,/m/026zlyd
http://www.wikidata.org/entity/Q1146100,Chinese Americans,/m/0d2by
http://www.wikidata.org/entity/Q1287427,Dogra,/m/05ztd1
http://www.wikidata.org/entity/Q1849258,Albanian Americans,/m/0ffhz3
http://www.wikidata.org/entity/Q2505231,Ukrainian Americans,/m/0ffjvd
http://www.wikidata.org/entity/Q2686890,Arab Mexican,/m/03m9my8
http://www.wikidata.org/entity/Q2696805,Dutch Australian,/m/02rp50t
http://www.wikidata.org/entity/Q2704511,White Africans of European ancestry,/m/04ggbzy
http://www.wikidata.org/entity/Q2986879,British African-Caribbean people,/m/0dtkkb
http://www.wikidata.org/entity/Q3154488,Irish Australians,/m/07hyjp
http://www.wikidata.org/entity/Q3303849,Syrian Americans,/m/02qv_h_
http://www.wikidata.org/entity/Q3395438,Polish Canadians,/m/067lts
http://www.wikidata.org/entity/Q3476361,Scottish Americans,/m/07bch9
http://www.wikidata.org/entity/Q4200801,Indian Australian,/m/03h11s3
http://www.wikidata.org/entity/Q4269361,Greek Australians,/m/068y7m
http://www.wikidata.org/entity/Q4416722,Serbs in the United Kingdom,/m/03cl2pz
http://www.wikidata.org/entity/Q4958704,Brazilian Americans,/m/02p7gyv
http://www.wikidata.org/entity/Q5030929,German Canadians,/m/03sx6v
http://www.wikidata.org/entity/Q5029742,Canadian Australian,/m/0gtwjz6
http://www.wikidata.org/entity/Q5147921,Colombian Americans,/m/0c2hxm
http://www.wikidata.org/entity/Q5201739,Czech Australians,/m/05bzpzx
http://www.wikidata.org/entity/Q5602103,Greeks in South Africa,/m/03cjjy0
http://www.wikidata.org/entity/Q5766070,Hindkowans,/m/027lf0d
http://www.wikidata.org/entity/Q6025447,Indo Caribbeans,/m/044bp_
http://www.wikidata.org/entity/Q6164703,Jatt Sikh,/m/0fng3k
http://www.wikidata.org/entity/Q7409949,Samoan New Zealanders,/m/0404kdr
http://www.wikidata.org/entity/Q7437641,Scottish Canadians,/m/02rbdlq
